layouts/layout3/layout3_7agents_369.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_37.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_370.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_371.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_372.txt, 154, 0.0, Distributed
layouts/layout3/layout3_7agents_373.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_374.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_375.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_376.txt, 224, 0.0, Distributed
layouts/layout3/layout3_7agents_377.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_378.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_379.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_38.txt, 154, 0.0, Distributed
layouts/layout3/layout3_7agents_380.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_381.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_382.txt, 98, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_383.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_384.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_385.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_386.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_387.txt, 175, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_388.txt, 168, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_389.txt, 196, 0.0, Distributed
layouts/layout3/layout3_7agents_39.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_390.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_391.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_392.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_393.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_394.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_395.txt, 91, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_396.txt, 168, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_397.txt, 203, 0.0, Distributed
layouts/layout3/layout3_7agents_398.txt, 112, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_399.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_4.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_40.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_400.txt, 112, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_401.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_402.txt, 154, 0.0, Distributed
layouts/layout3/layout3_7agents_403.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_404.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_405.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_406.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_407.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_408.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_409.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_41.txt, 210, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_410.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_411.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_412.txt, 161, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_413.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_414.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_415.txt, None, Not Solvable, Distributed
